tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
9402,Die drei Mädels von der Tankstelle,1997,ok,https://www.rottentomatoes.com/m/three_lives_of_karen,The Three Lives of Karen,,,,,,PG-13
9403,Private Parts,1997,ok,https://www.rottentomatoes.com/m/1075777-private_parts,Private Parts,,75,POSITIVE,69,POSITIVE,R
9404,Police Story 4: First Strike,1996,ok,https://www.rottentomatoes.com/m/jackie_chans_first_strike,Jackie Chan's First Strike,,52,NEGATIVE,56,NEGATIVE,PG-13
9405,Double Team,1997,ok,https://www.rottentomatoes.com/m/double_team,Double Team,,10,NEGATIVE,25,NEGATIVE,R
9406,An American Werewolf in Paris,1997,ok,https://www.rottentomatoes.com/m/american_werewolf_in_paris,An American Werewolf in Paris,,7,NEGATIVE,30,NEGATIVE,R
9407,Red Corner,1997,ok,https://www.rottentomatoes.com/m/red_corner,Red Corner,,27,NEGATIVE,48,NEGATIVE,R
9408,Surf's Up,2007,ok,https://www.rottentomatoes.com/m/surfs_up,Surf's Up,,78,POSITIVE,70,POSITIVE,PG
9409,Another Stakeout,1993,ok,https://www.rottentomatoes.com/m/another_stakeout,Another Stakeout,,17,NEGATIVE,28,NEGATIVE,PG-13
9410,Great Expectations,1998,ok,https://www.rottentomatoes.com/m/1081200-great_expectations,Great Expectations,,41,NEGATIVE,56,NEGATIVE,R
9411,Fallen,1998,ok,https://www.rottentomatoes.com/m/1080990-fallen,Fallen,,43,NEGATIVE,72,POSITIVE,R
9412,Night Time,1998,ok,https://www.rottentomatoes.com/m/night_time,Night Time,,,,,,
9413,Picture Perfect,1997,ok,https://www.rottentomatoes.com/m/1078216-picture_perfect,Picture Perfect,,44,NEGATIVE,37,NEGATIVE,PG-13
9414,The Man Who Knew Too Little,1997,ok,https://www.rottentomatoes.com/m/man_who_knew_too_little,The Man Who Knew Too Little,,38,NEGATIVE,69,POSITIVE,PG
9415,Murder at 1600,1997,ok,https://www.rottentomatoes.com/m/murder_at_1600,Murder at 1600,,33,NEGATIVE,42,NEGATIVE,R
9416,Money Talks,1997,ok,https://www.rottentomatoes.com/m/money_talks,Money Talks,,20,NEGATIVE,71,POSITIVE,R
9417,Wrongfully Accused,1998,ok,https://www.rottentomatoes.com/m/wrongfully_accused,Wrongfully Accused,,19,NEGATIVE,57,NEGATIVE,PG-13
9419,Kai Rabe gegen die Vatikankiller,1998,ok,https://www.rottentomatoes.com/m/kai_rabe_vs_the_vatican_killers,Kai Rabe vs. the Vatican Killers,,,,,,
9420,Love Your Female Neighbor!,1998,not_found,,,,,,,,
9421,The Dinner Game,1998,ok,https://www.rottentomatoes.com/m/dinner_game,The Dinner Game,,73,POSITIVE,90,POSITIVE,PG-13
9422,A Civil Action,1998,ok,https://www.rottentomatoes.com/m/civil_action,A Civil Action,,65,POSITIVE,55,NEGATIVE,PG-13
